"","brand_hybrid","Yield","air.sig995_mean","air.sig995_variance","omega.sig995_mean","omega.sig995_variance","pres.sfc_mean","pres.sfc_variance","rhum.sig995_mean","rhum.sig995_variance","uwnd.sig995_mean","uwnd.sig995_variance","vwnd.sig995_mean"
"1","AgriGold-A6408VT3PRIB",223.541,290.691714796196,34.8324440593689,-0.0110820585578068,0.00454892485654508,98128.2744565217,291800.964026915,78.085597826087,264.794023587696,1.22595384314657,14.4936524168106,1.13763869716712
"2","AgriGold-A6416STXRIB",221.4092,290.691714796196,34.8324440593689,-0.0110820585578068,0.00454892485654508,98128.2744565217,291800.964026915,78.085597826087,264.794023587696,1.22595384314657,14.4936524168106,1.13763869716712
"3","AgriGold-A6442STXRIB",229.2138,290.691714796196,34.8324440593689,-0.0110820585578068,0.00454892485654508,98128.2744565217,291800.964026915,78.085597826087,264.794023587696,1.22595384314657,14.4936524168106,1.13763869716712
"4","AgriGold-A6462STX",219.1585,290.691714796196,34.8324440593689,-0.0110820585578068,0.00454892485654508,98128.2744565217,291800.964026915,78.085597826087,264.794023587696,1.22595384314657,14.4936524168106,1.13763869716712
"5","AgriGold-A6499STXRIB",223.9404,290.691714796196,34.8324440593689,-0.0110820585578068,0.00454892485654508,98128.2744565217,291800.964026915,78.085597826087,264.794023587696,1.22595384314657,14.4936524168106,1.13763869716712
"6","AgriGold-A6533VT3PRIB",227.0549,290.691714796196,34.8324440593689,-0.0110820585578068,0.00454892485654508,98128.2744565217,291800.964026915,78.085597826087,264.794023587696,1.22595384314657,14.4936524168106,1.13763869716712
"7","AgriGold-A6559STXRIB",225.3753,290.691714796196,34.8324440593689,-0.0110820585578068,0.00454892485654508,98128.2744565217,291800.964026915,78.085597826087,264.794023587696,1.22595384314657,14.4936524168106,1.13763869716712
"8","Beck-5852D2",230.5056,290.691714796196,34.8324440593689,-0.0110820585578068,0.00454892485654508,98128.2744565217,291800.964026915,78.085597826087,264.794023587696,1.22595384314657,14.4936524168106,1.13763869716712
"9","Beck-XL 5131AMXT™*",228.8324,290.691714796196,34.8324440593689,-0.0110820585578068,0.00454892485654508,98128.2744565217,291800.964026915,78.085597826087,264.794023587696,1.22595384314657,14.4936524168106,1.13763869716712
"10","Beck-XL 5828AMX™*",243.026,290.691714796196,34.8324440593689,-0.0110820585578068,0.00454892485654508,98128.2744565217,291800.964026915,78.085597826087,264.794023587696,1.22595384314657,14.4936524168106,1.13763869716712
"11","Beck-XL 5939AMXT™*",235.7931,290.691714796196,34.8324440593689,-0.0110820585578068,0.00454892485654508,98128.2744565217,291800.964026915,78.085597826087,264.794023587696,1.22595384314657,14.4936524168106,1.13763869716712
"12","Beck-XL 6175AMXT™*",238.2197,290.691714796196,34.8324440593689,-0.0110820585578068,0.00454892485654508,98128.2744565217,291800.964026915,78.085597826087,264.794023587696,1.22595384314657,14.4936524168106,1.13763869716712
"13","Beck-XL 6365AMX™*",240.4902,290.691714796196,34.8324440593689,-0.0110820585578068,0.00454892485654508,98128.2744565217,291800.964026915,78.085597826087,264.794023587696,1.22595384314657,14.4936524168106,1.13763869716712
"14","Burrus-6T54 3000GT",219.7663,290.691714796196,34.8324440593689,-0.0110820585578068,0.00454892485654508,98128.2744565217,291800.964026915,78.085597826087,264.794023587696,1.22595384314657,14.4936524168106,1.13763869716712
"15","Burrus-XP 5008 3122",224.2101,290.691714796196,34.8324440593689,-0.0110820585578068,0.00454892485654508,98128.2744565217,291800.964026915,78.085597826087,264.794023587696,1.22595384314657,14.4936524168106,1.13763869716712
